gene_name,functional,allele_name
1-1,F,V1-1*01
1-1,(F),V1-1*02
1-2,F,V1-2*01
1-2,[F],V1-2*02
2,F,V2-1*01
2,(F),V2-1*02
3,F,V3*01
3,(P),V3*02
4,F,V4*01
5,F,V5*01
6,F,V6*01
6,(F),V6*02
6,[F],V6*03
6,[F],V6*04
6,[F],V6*05
6,[F],V6*06
7,F,V7*01
8-1,F,V8-1*01
8-1,[F],V8-1*02
8-2,F,V8-2*01
8-2,(F),V8-2*02
8-3,F,V8-3*01
8-3,(F),V8-3*02
8-3,(F),V8-3*03
8-4,F,V8-4*01
8-4,(F),V8-4*02
8-4,(F),V8-4*03
8-4,(F),V8-4*04
8-4,(F),V8-4*05
8-4,(F),V8-4*06
8-4,(F),V8-4*07
8-6,F,V8-6*01
8-6,F,V8-6*02
8-7,ORF,V8-7*01
9-1,F,V9-1*01
9-2,F,V9-2*01
9-2,(F),V9-2*02
9-2,(F),V9-2*03
9-2,(F),V9-2*04
10,F,V10*01
11,P(11),V11*01
12-1,F,V12-1*01
12-1,(F),V12-1*02
12-2,F,V12-2*01
12-2,(F),V12-2*02
12-2,(F),V12-2*03
12-3,F,V12-3*01
12-3,(F),V12-3*02
13-1,F,V13-1*01
13-1,(F),V13-1*02
13-1,[F],V13-1*03
13-2,F,V13-2*01
13-2,(F),V13-2*02
14/DV4,F,V14-1*01
14/DV4,F,V14-1*02
14/DV4,(F),V14-1*03
14/DV4,[F],V14-1*04
16,F,V16*01
17,F,V17*01
18,F,V18*01
19,F,V19*01
20,F,V20*01
20,(F),V20*02
20,(F),V20*03
20,(F),V20*04
21,F,V21*01
21,(F),V21*02
22,F,V22*01
23/DV6,F,V23*01
23/DV6,(F),V23*02
23/DV6,(F),V23*03
23/DV6,[F],V23*04
24,F,V24*01
24,F,V24*02
25,F,V25*01
26-1,F,V26-1*01
26-1,(F),V26-1*02
26-1,(F),V26-1*03
26-2,F,V26-2*01
26-2,[F],V26-2*02
27,F,V27*01
27,(F),V27*02
27,(F),V27*03
29/DV5,F,V29*01
29/DV5,(F),V29*02
29/DV5,P,V29*03
30,F,V30*01
30,(F),V30*02
30,(F),V30*03
30,[F],V30*04
34,F,V34*01
35,F,V35*01
35,(F),V35*02
36/DV7,F,V36*01
36/DV7,(F),V36*02
36/DV7,(F),V36*03
36/DV7,(F),V36*04
38-1,F,V38-1*01
38-1,(F),V38-1*02
38-1,(F),V38-1*03
38-1,(F),V38-1*04
38-2/DV8,F,V38-2*01
39,F,V39*01
40,F,V40*01
41,F,V41*01
