gene_name,functional,allele_name
2,F,V2*01
2,(F),V2*02
2,(F),V2*03
3-1,F,V3-1*01
3-1,(F),V3-1*02
4-1,F,V4-1*01
4-1,(F),V4-1*02
4-2,F,V4-2*01
4-2,(F),V4-2*02
4-3,F,V4-3*01
4-3,(F),V4-3*02
4-3,(F),V4-3*03
4-3,(F),V4-3*04
5-1,F,V5-1*01
5-1,(F),V5-1*02
5-3,ORF,V5-3*01
5-3,ORF,V5-3*02
5-4,F,V5-4*01
5-4,(F),V5-4*02
5-4,(F),V5-4*03
5-4,(F),V5-4*04
5-5,F,V5-5*01
5-5,(F),V5-5*02
5-5,(F),V5-5*03
5-6,F,V5-6*01
5-7,ORF,V5-7*01
5-8,F,V5-8*01
5-8,(F),V5-8*02
6-1,F,V6-1*01
6-2,F,V6-2*01
6-3,F,V6-3*01
6-4,F,V6-4*01
6-4,F,V6-4*02
6-5,F,V6-5*01
6-6,F,V6-6*01
6-6,F,V6-6*02
6-6,(F),V6-6*03
6-6,(F),V6-6*04
6-6,(F),V6-6*05
6-7,ORF,V6-7*01
6-8,F,V6-8*01
6-9,F,V6-9*01
7-1,ORF,V7-1*01
7-2,F,V7-2*01
7-2,F,V7-2*02
7-2,F,V7-2*03
7-2,(F),V7-2*04
7-3,F,V7-3*01
7-3,ORF,V7-3*02
7-3,ORF,V7-3*03
7-3,(F),V7-3*04
7-3,(F),V7-3*05
7-4,F,V7-4*01
7-4,[P],V7-4*02
7-6,F,V7-6*01
7-6,(F),V7-6*02
7-7,F,V7-7*01
7-7,(F),V7-7*02
7-8,F,V7-8*01
7-8,F,V7-8*02
7-8,(F),V7-8*03
7-9,F,V7-9*01
7-9,(F),V7-9*02
7-9,F,V7-9*03
7-9,(F),V7-9*04
7-9,(F),V7-9*05
7-9,(F),V7-9*06
7-9,(F),V7-9*07
9,F,V9*01
9,F,V9*02
9,(F),V9*03
10-1,F,V10-1*01
10-1,F,V10-1*02
10-1,[P],V10-1*03
10-2,F,V10-2*01
10-2,[F],V10-2*02
10-3,F,V10-3*01
10-3,F,V10-3*02
10-3,[F],V10-3*03
10-3,[F],V10-3*04
11-1,F,V11-1*01
11-2,F,V11-2*01
11-2,[F],V11-2*02
11-2,(F),V11-2*03
11-3,F,V11-3*01
11-3,(F),V11-3*02
11-3,(F),V11-3*03
11-3,(F),V11-3*04
12-3,F,V12-3*01
12-4,F,V12-4*01
12-4,(F),V12-4*02
12-5,F,V12-5*01
13,F,V13-1*01
13,(F),V13-1*02
14,F,V14*01
14,(F),V14*02
15,F,V15*01
15,(F),V15*02
15,(F),V15*03
16,F,V16*01
16,P,V16*02
16,(F),V16*03
17,ORF,V17*01
18,F,V18*01
19,F,V19*01
19,F,V19*02
19,(F),V19*03
20-1,F,V20-1*01
20-1,F,V20-1*02
20-1,(F),V20-1*03
20-1,(F),V20-1*04
20-1,(F),V20-1*05
20-1,(F),V20-1*06
20-1,(F),V20-1*07
23-1,ORF,V23-1*01
24-1,F,V24-1*01
25-1,F,V25-1*01
27,F,V27*01
28,F,V28*01
29-1,F,V29-1*01
29-1,(F),V29-1*02
29-1,(F),V29-1*03
30,F,V30*01
30,F,V30*02
30,P,V30*03
30,(F),V30*04
30,(F),V30*05
