gene_name,functional,allele_name
1,F,V1*01
1,(F),V1*02
2,F,V2*01
3,F,V3*01
3,(F),V3*02
4,F,V4*01
4,(F),V4*02
5,F,V5*01
5,(F),V5*02
5,(F),V5*03
5,(F),V5*04
5,(F),V5*05
12-1,F,V12-1*01
12-1,(F),V12-1*02
12-2,F,V12-2*01
12-2,(F),V12-2*02
13-1,F,V13-1*01
13-1,F,V13-1*02
13-2,F,V13-2*01
13-2,(F),V13-2*02
13-2,(F),V13-2*03
13-2,(F),V13-2*04
13-2,(F),V13-2*05
13-3,F,V13-3*01
14,F,V14*01
15,F,V15*01
16,F,V16*01
16,(F),V16*02
16,(F),V16*03
16,(F),V16*04
17,F,V17*01
19,F,V19*01
19,(F),V19*02
19,(F),V19*03
20,F,V20*01
20,(F),V20*02
21,ORF,V21*01
23,F,V23*01
24,F,V24*01
24,P,V24*02
24,(ORF),V24*03
24,(F),V24*04
26,F,V26*01
26,(F),V26*02
29,F,V29*01
29,(F),V29*02
30,F,V30*01
31,F,V31*01
31,(F),V31*02
